Fecha de acreditación,Fecha toma posesión
06/03/2024,24-01-26
26/02/2024,31-12-25
04/03/2024,29-01-26
06/03/2024,31-12-25
06/03/2024,31-12-25
07/03/2024,31-12-25
08/03/2024,31-12-25
12/03/2024,31-12-25
13/03/2024,19-01-26
14/03/2024,31-12-25
02/04/2024,27-01-26
08/04/2024,23-01-26
08/04/2024,31-12-25
09/04/2024,26-01-26
09/04/2024,31-12-25
17/04/2024,29-12-25
17/04/2024,19-01-26
22/04/2024,20-01-26
22/04/2024,24-01-26
24/04/2024,24-01-26
29/04/2024,23-01-26
06/05/2024,31-12-25
06/05/2024,31-12-25
20/05/2024,31-12-25
29/05/2024,31-12-25
29/05/2024,29-01-26
30/05/2024,23-01-26
30/05/2024,27-01-26
03/06/2024,02-02-26
03/06/2024,23-01-26
17/06/2024,27-01-26
19/06/2024,31-12-25
19/06/2024,31-12-25
21/06/2024,31-12-25
24/06/2024,26-01-26
26/06/2024,
26/06/2024,
27/06/2024,
27/06/2024,
01/07/2024,
11/07/2024,
11/07/2024,
11/07/2024,
11/07/2024,
17/07/2024,
18/07/2024,
18/07/2024,
18/07/2024,
22/07/2024,
22/07/2024,
22/07/2024,
24/07/2024,
04/09/2024,
13/09/2024,
16/09/2024,
17/09/2024,
18/09/2024,
23/09/2024,
24/09/2024,
26/09/2024,
07/10/2024,
14/10/2024,
17/10/2024,
17/10/2024,
21/10/2024,
21/10/2024,
22/10/2024,
28/10/2024,
28/10/2024,
29/10/2024,
07/11/2024,
18/11/2024,
18/11/2024,
18/11/2024,
19/11/2024,
25/11/2024,
27/11/2024,
10/12/2024,
11/12/2024,
13/12/2024,
17/12/2024,
19/12/2024,
19/12/2024,
20/01/2025,
30/01/2025,
17/02/2025,
19/02/2025,
19/02/2025,
25/02/2025,
25/02/2025,
26/02/2025,
05/03/2025,
24/03/2025,
24/03/2025,
21/04/2025,
28/04/2025,
05/05/2025,
28/05/2025,
03/06/2025,
16/06/2025,
16/06/2025,
16/06/2025,
23/06/2025,
30/06/2025,
30/06/2025,
30/06/2025,
11/07/2025,
15/07/2025,
17/07/2025,
23/07/2025,
23/07/2025,
23/07/2025,
28/07/2025,
29/07/2025,
15/09/2025,
23/09/2025,
23/09/2025,
24/09/2025,
29/10/2025,
30/10/2025,
30/10/2025,
30/10/2025,
18/11/2025,
18/11/2025,
24/11/2025,
28/11/2025,
01/12/2025,
15/12/2025,
16/12/2025,
18/12/2025,
19/12/2025,
